case,method,seed,evaluation,best_value
ga_blx_arith_seed10,ga,10,152,0.016731909520833567
ga_blx_arith_seed10,ga,10,153,0.016731909520833567
ga_blx_arith_seed10,ga,10,154,0.016731909520833567
ga_blx_arith_seed10,ga,10,155,0.016731909520833567
ga_blx_arith_seed10,ga,10,156,0.016731909520833567
ga_blx_arith_seed10,ga,10,157,0.016731909520833567
ga_blx_arith_seed10,ga,10,158,0.016731909520833567
ga_blx_arith_seed10,ga,10,159,0.016731909520833567
ga_blx_arith_seed10,ga,10,160,0.016731909520833567
ga_blx_arith_seed10,ga,10,161,0.016731909520833567
ga_blx_arith_seed10,ga,10,162,0.016731909520833567
ga_blx_arith_seed10,ga,10,163,0.016731909520833567
ga_blx_arith_seed10,ga,10,164,0.016731909520833567
ga_blx_arith_seed10,ga,10,165,0.016731909520833567
ga_blx_arith_seed10,ga,10,166,0.016731909520833567
ga_blx_arith_seed10,ga,10,167,0.016731909520833567
ga_blx_arith_seed10,ga,10,168,0.016731909520833567
ga_blx_arith_seed10,ga,10,169,0.016731909520833567
ga_blx_arith_seed10,ga,10,170,0.016731909520833567
ga_blx_arith_seed10,ga,10,171,0.016731909520833567
ga_blx_arith_seed10,ga,10,172,0.016731909520833567
ga_blx_arith_seed10,ga,10,173,0.016731909520833567
ga_blx_arith_seed10,ga,10,174,0.016731909520833567
ga_blx_arith_seed10,ga,10,175,0.016731909520833567
ga_blx_arith_seed10,ga,10,176,0.016731909520833567
ga_blx_arith_seed10,ga,10,177,0.016731909520833567
ga_blx_arith_seed10,ga,10,178,0.016731909520833567
ga_blx_arith_seed10,ga,10,179,0.016731909520833567
ga_blx_arith_seed10,ga,10,180,0.016731909520833567
ga_blx_arith_seed10,ga,10,181,0.016731909520833567
ga_blx_arith_seed10,ga,10,182,0.016731909520833567
ga_blx_arith_seed10,ga,10,183,0.016731909520833567
ga_blx_arith_seed10,ga,10,184,0.016731909520833567
ga_blx_arith_seed10,ga,10,185,0.016731909520833567
ga_blx_arith_seed10,ga,10,186,0.016731909520833567
ga_blx_arith_seed10,ga,10,187,0.016731909520833567
ga_blx_arith_seed10,ga,10,188,0.016731909520833567
ga_blx_arith_seed10,ga,10,189,0.016731909449332436
ga_blx_arith_seed10,ga,10,190,0.016731909449332436
ga_blx_arith_seed10,ga,10,191,0.016731909449332436
ga_blx_arith_seed10,ga,10,192,0.016731909449332436
ga_blx_arith_seed10,ga,10,193,0.016731909449332436
ga_blx_arith_seed10,ga,10,194,0.016731909449332436
ga_blx_arith_seed10,ga,10,195,0.016731909449332436
ga_blx_arith_seed10,ga,10,196,0.016731909449332436
ga_blx_arith_seed10,ga,10,197,0.016731909449332436
ga_blx_arith_seed10,ga,10,198,0.016731909449332436
ga_blx_arith_seed10,ga,10,199,0.016731909449332436
ga_blx_arith_seed10,ga,10,200,0.016731909449332436
ga_blx_seed1,ga,1,1,9354.373315548184
ga_blx_seed1,ga,1,2,0.03165146581718769
ga_blx_seed1,ga,1,3,0.03165146581718769
ga_blx_seed1,ga,1,4,0.03165146581718769
ga_blx_seed1,ga,1,5,0.03165146581718769
ga_blx_seed1,ga,1,6,0.03165146581718769
ga_blx_seed1,ga,1,7,0.03165146581718769
ga_blx_seed1,ga,1,8,0.03165146581718769
ga_blx_seed1,ga,1,9,0.03165146581718769
ga_blx_seed1,ga,1,10,0.03165146581718769
ga_blx_seed1,ga,1,11,0.03165146581718769
ga_blx_seed1,ga,1,12,0.03165146581718769
ga_blx_seed1,ga,1,13,0.03165146581718769
ga_blx_seed1,ga,1,14,0.03165146581718769
ga_blx_seed1,ga,1,15,0.03165146581718769
ga_blx_seed1,ga,1,16,0.03165146581718769
ga_blx_seed1,ga,1,17,0.018663987291015125
ga_blx_seed1,ga,1,18,0.018663987291015125
ga_blx_seed1,ga,1,19,0.018663987291015125
ga_blx_seed1,ga,1,20,0.016827097118572085
ga_blx_seed1,ga,1,21,0.016827097118572085
ga_blx_seed1,ga,1,22,0.016827097118572085
ga_blx_seed1,ga,1,23,0.016827097118572085
ga_blx_seed1,ga,1,24,0.0167409400828386
ga_blx_seed1,ga,1,25,0.0167409400828386
ga_blx_seed1,ga,1,26,0.0167409400828386
ga_blx_seed1,ga,1,27,0.0167409400828386
ga_blx_seed1,ga,1,28,0.0167409400828386
ga_blx_seed1,ga,1,29,0.0167409400828386
ga_blx_seed1,ga,1,30,0.0167409400828386
ga_blx_seed1,ga,1,31,0.0167409400828386
ga_blx_seed1,ga,1,32,0.0167409400828386
ga_blx_seed1,ga,1,33,0.0167409400828386
ga_blx_seed1,ga,1,34,0.0167409400828386
ga_blx_seed1,ga,1,35,0.0167409400828386
ga_blx_seed1,ga,1,36,0.0167409400828386
